PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),AQI
197.6953511,501.0533591,118.1441369,52.19478444,14.25168915,164.8486716,Moderate
16.99257131,112.7753227,195.5534371,118.9533854,41.86675074,100.2441109,Good
288.0699817,68.04819602,25.17491445,45.75892374,9.523291394,151.6864573,Unhealthy
169.5967514,262.9314722,197.2948813,28.18597006,47.53213902,278.7430656,Very Unhealthy
224.094188,108.9206802,93.33478678,58.42342096,41.33133926,1.591699137,Very Unhealthy
340.555107,155.4963337,43.72655756,119.6050429,17.96946303,125.1372278,Unhealthy
350.3323335,351.0700552,188.6561652,105.5277053,21.0735863,100.0916162,Good
13.77820743,242.3418683,93.72266203,60.15468028,0.191899676,288.3693202,Very Unhealthy
384.6513364,519.5269678,69.46939104,140.6803087,12.57161222,292.1682694,Moderate
246.7594575,135.3674073,42.76202076,61.31642788,14.4648228,175.6981607,Unhealthy
278.3493867,598.0744194,53.57509022,52.61290924,22.63693495,165.0020905,Very Unhealthy
148.9970926,215.6360496,195.843902,21.70783664,6.9524907,270.963749,Very Unhealthy
210.416893,309.2417104,60.79468798,10.54179686,23.93834441,1.962742129,Hazardous
355.187567,79.39926589,195.5611848,52.48536058,33.42342427,168.6841809,Good
388.3569015,347.5794076,66.04299732,13.80032793,18.56411491,7.389722496,Unhealthy
193.5530906,576.7709367,46.28369312,69.39524368,11.60976378,290.4486814,Very Unhealthy
345.5587663,449.6386667,36.67283658,129.0014316,27.38582435,96.0478672,Unhealthy
129.0217508,146.4327361,82.37090105,71.4174979,1.450195148,156.2403906,Moderate
416.0113326,265.5670265,47.36128971,72.08714674,17.04187254,125.2705514,Hazardous
304.9071195,255.2599884,139.3875928,38.01609314,26.37951215,268.0872372,Good
387.593258,58.76866056,47.95434707,24.94433639,16.79214081,299.9453832,Good
238.5774262,531.5101084,167.079369,33.34932878,17.2715713,20.5163934,Moderate
114.5546425,228.87363,166.8022517,85.19827193,42.41483313,219.6093408,Very Unhealthy
214.6155567,296.5557667,57.10527481,88.76896716,46.69958936,110.3995872,Hazardous
190.7426972,174.7486649,150.7080261,33.0281689,41.36963237,41.72187592,Good
166.3582717,91.43737607,171.5091752,59.83805613,4.943372504,121.6312589,Unhealthy
106.0868739,541.2663719,118.0265688,85.30240266,14.48712222,299.4439891,Moderate
379.5835709,22.4384866,73.26648217,114.0693058,35.56471833,107.2701898,Good
43.17583066,239.9277008,88.19343734,47.96540401,48.71963975,83.21984654,Very Unhealthy
443.7804649,438.4172562,157.245773,40.703538,12.11407742,253.8514124,Hazardous
87.51236145,185.3147509,58.6634928,109.5700499,44.91052395,260.3813999,Good
489.9368259,267.6171642,66.89246688,77.07182561,36.95074936,101.6607464,Very Unhealthy
494.234024,338.6863506,32.15686725,128.5119887,49.17251832,89.60194218,Very Unhealthy
199.1935206,597.0489673,79.8104806,31.65045306,4.679274087,194.1844433,Moderate
493.9105363,454.9808027,17.30302645,115.6414314,19.73728741,61.55354512,Very Unhealthy
434.5342586,580.2692243,64.2068882,24.30502611,23.90575012,145.1056208,Moderate
41.21513847,415.8872844,74.69587619,87.71568667,33.60413126,42.40310749,Unhealthy
473.6642818,161.4317329,51.09582648,42.54505625,32.69860181,91.42643347,Moderate
21.25719295,172.4932854,20.27162383,15.16364364,45.31726724,89.24444931,Good
90.95714687,493.478582,104.3334485,92.51469069,41.93365613,208.4699895,Moderate
292.2977704,256.6280947,173.016234,76.01984398,2.768633446,84.6819105,Hazardous
40.3685892,222.134516,67.12894916,72.89702828,24.32700615,269.548711,Unhealthy
80.86387849,567.0564158,47.36031428,88.87791412,20.35306151,294.9138283,Moderate
476.7458936,7.939899882,57.00764354,55.86558262,49.85722933,24.31851038,Unhealthy
497.3439424,314.9801311,172.3774363,100.5251343,21.36290971,119.2942896,Moderate
399.0682709,465.0459944,105.5615179,19.62655964,34.130957,90.55231905,Very Unhealthy
257.6046957,441.7014097,26.15807025,107.2457225,14.22147166,105.5970386,Very Unhealthy
450.1504678,220.5446323,141.8443298,86.97205714,30.7314478,79.60646582,Good
55.94938544,321.3889871,30.87378665,72.97089601,10.33165443,114.7994584,Very Unhealthy
471.4459346,3.346376813,12.04888059,19.14756,30.18033278,42.42437783,Hazardous
175.7764637,320.8981618,51.1369753,41.73967192,43.40951193,83.94548266,Very Unhealthy
430.7446956,354.2407358,33.6180359,44.29448679,0.961889572,224.3453634,Hazardous
334.186703,524.8748026,120.9994949,35.07189809,25.22932048,103.2139577,Moderate
480.137152,126.4423619,96.91328147,143.126959,49.11853122,62.3504692,Moderate
432.3389739,495.0874274,144.8129101,137.3462337,7.963126122,32.53321157,Hazardous
443.9489068,430.8399065,102.3142101,81.91998208,9.170616402,104.4012442,Good
315.8771781,399.6185189,83.80118704,30.85088749,23.54118606,193.0227266,Very Unhealthy
416.5792655,236.6326946,105.2437381,136.6707548,43.54965902,75.99146132,Hazardous
378.5655754,220.4606289,86.89722262,112.4109799,28.13798047,126.7337073,Very Unhealthy
80.81156545,421.9567335,7.417378783,5.815775843,25.43543223,285.7195739,Unhealthy
324.2984457,594.1339286,136.1398226,73.60672826,4.337852955,165.7088556,Good
74.08777326,243.2122555,192.4260652,90.74169347,48.09930073,159.5815848,Moderate
434.7280609,551.1598666,84.40671141,9.97100461,17.35579657,122.9829938,Hazardous
32.97489967,351.9270494,84.74659675,7.474654673,12.59035761,167.0519931,Unhealthy
493.5233351,520.8993921,9.153775727,69.52859377,20.58719724,295.3701823,Hazardous
200.3133331,130.3142682,178.0758169,0.292757001,20.70910809,76.14207164,Hazardous
85.31467685,457.3392448,185.8242775,7.025333912,22.92665544,282.5783685,Hazardous
467.8374918,500.9661064,162.6278236,24.77064957,34.42691009,44.72129531,Hazardous
22.71299311,499.3014839,21.26909431,136.4956161,43.39732843,33.33160906,Moderate
235.0528173,470.8268272,180.0447362,114.9425291,2.865644006,196.4008487,Moderate
385.113564,182.5173778,4.791132679,67.56390064,24.53842823,75.3537074,Moderate
158.3752377,313.1701319,88.91486465,71.88085012,20.69890624,133.3176919,Good
264.417335,179.8228681,100.1247308,102.9036824,0.544005641,218.8964306,Moderate
350.2065082,205.779544,166.8004202,71.15798045,40.82447255,160.4524509,Very Unhealthy
475.9882105,180.7313302,150.1718427,9.588766327,5.215660056,4.124804799,Moderate
51.35131964,170.5362288,159.4193793,110.8097063,5.737400475,91.75296989,Hazardous
78.61335186,416.0530035,173.5801899,8.662473847,2.414920903,19.40600094,Hazardous
254.4354476,390.1582196,95.2141841,72.91396987,10.02108169,277.834365,Very Unhealthy
209.2374806,122.5585408,156.0504707,129.2561264,8.840814078,238.394578,Unhealthy
205.3980803,414.9112321,13.60661888,17.606955,17.3932918,295.1525051,Hazardous
148.4807515,174.6411576,88.90928455,105.9941869,32.96351971,265.5328537,Hazardous
280.3423993,121.0310007,6.026534974,6.949188833,2.714711381,142.5996062,Moderate
441.6441681,448.3511282,183.0630131,148.9589428,43.01378801,264.7792552,Moderate
80.46217027,217.7208557,191.6827564,102.312957,16.32893077,201.731584,Hazardous
107.6431647,341.6103146,16.78781206,145.3484428,30.33036655,157.3798969,Very Unhealthy
335.4117489,120.0743763,106.5253289,100.2335947,0.600255611,111.1938138,Hazardous
28.09882714,368.2163024,65.02792127,36.34247104,18.29039575,204.2898528,Moderate
336.8820998,124.7960608,68.50685693,138.954677,0.102545595,177.0400269,Moderate
157.2280754,100.1261541,90.14001228,94.00052772,8.272913679,184.2554948,Moderate
178.9269657,231.9171431,25.01319305,86.39055759,22.39252152,119.9493993,Very Unhealthy
202.7746869,474.0371036,36.15403976,64.36678395,26.7543711,221.7945343,Hazardous
174.7937807,105.920609,115.473732,42.68908641,7.646429986,24.40283029,Moderate
420.6048106,70.21594051,3.751181887,79.51043545,37.26081388,217.8476888,Unhealthy
473.0342287,18.98861548,119.9602044,54.90865632,9.450183276,219.2283941,Moderate
274.0057377,249.5794539,63.78343756,128.1036607,5.792254608,154.7830186,Good
290.9392494,169.2150389,166.441283,4.319781295,16.67122564,78.98494508,Unhealthy
35.24155401,175.2650704,120.0013015,79.51372273,27.57143318,155.7829543,Moderate
356.5959642,589.1651657,141.6182401,125.4847333,49.44509082,36.92585563,Good
292.0494365,116.4740417,22.88503625,4.140955707,20.93578648,85.54313262,Very Unhealthy
25.1972619,275.0562303,53.17247294,42.34540144,21.29982086,126.3899636,Good
99.21283354,591.8209027,199.3339218,7.728383495,2.966673506,201.9701355,Hazardous
100.9717102,18.37083157,86.73044938,89.25056547,38.29098366,56.16503033,Hazardous
85.48397597,417.9944668,71.77304106,47.51041116,9.089150093,47.45122552,Very Unhealthy
329.3229773,222.6497714,174.7710718,143.9595057,37.24017823,182.3389087,Very Unhealthy
464.2198077,543.6585682,6.614921773,92.44404089,45.53084389,203.8636623,Very Unhealthy
381.4876627,547.1648626,106.9546723,84.2703007,38.4110381,25.09672584,Good
238.6867426,232.3276416,42.05144276,137.5859648,32.12267102,9.948955041,Good
202.025649,132.8780792,73.63055829,33.53631091,30.19581477,44.14495542,Very Unhealthy
193.2290527,256.802063,39.95541437,84.33633893,22.68164462,270.3080105,Good
300.6234788,579.1837648,7.56455191,81.41739524,7.227134756,201.7915606,Hazardous
179.6103295,168.8391535,83.30242679,12.31713515,38.94193046,276.3077733,Moderate
113.0609856,588.7906789,157.8406042,139.808968,23.86611352,199.414441,Unhealthy
301.4214533,491.6348987,190.3908865,105.0352098,31.28229116,289.5711722,Very Unhealthy
195.3527067,160.4713989,124.7705949,133.2158775,18.70076145,131.6720011,Hazardous
7.062414572,474.6416802,77.76741847,147.380608,10.03613598,179.7296815,Good
11.11555678,29.87966588,153.9710547,71.94809434,40.32542319,180.3556354,Unhealthy
137.0683056,328.8380259,101.0447967,120.5489763,17.11999028,0.941974938,Very Unhealthy
256.2110998,214.4094835,73.52405598,86.63396034,43.33400145,8.236338108,Good
177.1197538,256.161599,35.81793851,146.5684573,48.28624513,43.57956324,Good
12.02757619,283.7126028,159.2259969,37.08353762,41.49942636,153.3388665,Unhealthy
111.5758819,301.6276561,100.0851581,2.072575649,6.406902265,129.1579561,Good
48.20965434,393.8473647,192.7607483,27.89213569,42.75054637,161.9247177,Unhealthy
474.3160007,418.0662167,160.3819201,19.2028173,25.96789127,240.1472382,Hazardous
156.4170378,585.422422,84.00322383,65.5428467,12.07058004,246.6720836,Very Unhealthy
7.383185798,457.6672012,148.1700082,11.61153056,4.657801681,293.1044561,Good
330.281626,412.6786654,90.67829857,33.02966057,13.92549196,167.26434,Moderate
116.2239703,235.4753304,15.97314568,14.43988208,6.871354109,104.1646467,Unhealthy
283.3681275,70.68483869,103.3362103,73.01291674,1.28222911,92.40831146,Hazardous
75.3727273,35.27305167,173.1457239,40.01656081,49.38821746,102.222473,Moderate
492.0066176,286.6108262,171.0882637,70.65109473,41.57711242,97.14888058,Very Unhealthy
485.1295933,400.9540276,114.9933827,13.33321501,36.94746315,117.8759924,Hazardous
327.9916758,390.0959108,76.00470728,77.5305999,9.65068856,22.46442634,Unhealthy
353.6013109,571.7168521,2.020120462,19.51038028,1.386821948,190.0297421,Hazardous
212.9394456,229.4579839,62.28195579,14.90196771,24.26019413,170.4123669,Hazardous
481.0896727,376.6702879,197.9617155,46.5029326,37.0847215,138.5882678,Hazardous
211.8698102,532.7242931,145.2982067,131.1626215,48.14186817,24.33158712,Very Unhealthy
119.7339987,242.4466539,143.5177128,118.2782104,42.19418443,27.96260784,Moderate
57.6893048,286.6458917,152.2166781,143.8724703,44.6751178,163.5315526,Hazardous
104.0626502,553.7837375,124.0226767,69.02928966,11.93313739,10.97411009,Good
286.106752,330.1451718,117.1717314,46.86621345,7.766300881,217.4366792,Hazardous
122.545859,479.765963,90.72385107,145.6360098,12.3890885,298.1334426,Hazardous
327.1247142,561.3743017,88.78679873,57.26521174,6.928973663,179.2220697,Very Unhealthy
191.0922599,342.6348231,174.1696911,1.365510933,39.92419119,217.0294446,Very Unhealthy
443.4364527,65.5121814,78.69125234,123.0162921,45.15215305,131.6807977,Very Unhealthy
279.2390337,493.0199723,168.0583568,25.38158114,15.36710131,200.2236993,Very Unhealthy
311.3020266,490.6692992,167.5468851,107.6868643,43.84630915,195.534097,Hazardous
278.2799015,68.99111661,154.1796399,2.268283568,2.751759008,247.2272688,Hazardous
442.7843871,328.870891,7.528479973,16.64852462,33.86782698,213.4018756,Unhealthy
31.70978396,292.2513813,29.59444888,72.53453299,26.37466049,224.7148632,Very Unhealthy
33.67435355,508.2977596,62.94102844,10.18470397,13.83716478,166.9907981,Unhealthy
350.8701225,164.7766995,169.5066685,133.2946344,38.41005477,145.3544808,Moderate
383.981951,255.766625,174.6518763,112.4803592,10.60236407,137.6149481,Very Unhealthy
216.7947091,362.8746268,8.311458871,49.2277968,20.80747437,117.6032762,Moderate
176.152604,310.3471156,64.94491063,89.62806216,35.4929668,79.808329,Good
138.9725331,573.0205648,170.0768409,107.3290103,16.91144906,9.993313133,Hazardous
117.1974429,576.3943966,49.93864981,113.3098783,42.76800928,201.3286898,Hazardous
455.9792948,48.94349447,195.2006613,59.35139317,43.27135053,270.2883584,Unhealthy
147.5697732,178.7081954,97.86075332,134.8200331,10.12652099,279.1447313,Hazardous
324.0393979,4.520889427,187.4625379,141.2677095,22.01949943,174.168512,Moderate
393.5473902,250.7162091,85.76527887,29.35728768,21.60063216,28.24098248,Hazardous
10.98328922,397.2834317,64.75978542,136.68582,20.50225677,263.5992921,Very Unhealthy
16.93707494,282.7708687,72.48203504,106.9020767,25.09860691,224.3234647,Good
166.5687023,40.30912414,176.8601165,133.2207096,3.718315704,75.42331626,Unhealthy
348.0078722,117.5737425,66.13787726,63.71314024,43.50249977,241.0634823,Unhealthy
130.3993176,103.974809,133.8692443,99.17963124,14.49573892,141.6023844,Unhealthy
0.741645216,306.6769739,93.96853642,35.30696674,0.090619673,266.2779335,Very Unhealthy
144.07395,406.6080094,188.3342377,112.6652629,34.25519663,74.28327983,Hazardous
45.06540832,189.7952539,31.87269441,87.26002547,32.52360419,240.2717762,Very Unhealthy
109.7066529,78.27603861,85.73136602,72.14176678,49.15811066,213.5730947,Moderate
166.5950003,479.1585888,24.92676238,103.9022415,35.96236072,4.33235172,Hazardous
64.02867753,515.0171021,115.6278684,82.85179067,16.63530541,169.0003827,Very Unhealthy
353.1823637,165.8929281,80.57983827,114.8032308,47.63087759,214.6602834,Moderate
127.960116,252.4486214,12.1874465,128.76541,18.26728996,46.9232366,Moderate
330.5473997,49.15866158,169.967622,120.0909457,41.0622343,159.5696806,Very Unhealthy
299.5164264,136.6183579,75.10295657,46.12599473,16.78370346,91.22337307,Very Unhealthy
449.0227438,460.2002268,98.72614819,146.417882,2.435415675,208.8758745,Good
43.96658617,219.1187338,81.5026671,97.46118944,36.68924305,162.0419439,Very Unhealthy
107.3040557,362.8153592,97.73053569,48.51997141,17.51054654,186.4373983,Unhealthy
432.5892145,567.7106882,3.265039534,6.387131291,16.94438495,21.7619512,Hazardous
411.0657282,434.1827075,163.0919059,148.2144615,35.79258134,41.33854206,Moderate
96.05277859,272.0713108,66.46160239,89.85260902,16.10189305,165.6267542,Unhealthy
53.86800597,220.1281862,144.8923529,34.13103938,5.900635211,54.35186461,Unhealthy
428.1207323,114.316209,12.97735908,73.66857017,20.2255126,149.6073514,Moderate
89.06902841,453.6840438,104.7650505,59.63107204,41.19220198,207.0087897,Hazardous
435.554853,67.4551315,181.7583944,142.704786,6.5102244,242.9315127,Good
480.5573497,36.83621423,79.6496071,73.89914178,27.72403879,42.9020418,Good
110.4033193,62.89720516,39.45180202,72.70014982,6.612964697,222.5636601,Unhealthy
420.1938,145.7432321,19.81623142,119.1899562,2.459142422,108.9558253,Unhealthy
211.915545,376.2740489,171.8175927,58.6367347,18.93548873,203.679891,Very Unhealthy
394.3892124,516.79808,47.76124547,29.47775226,32.89416582,43.58538979,Good
203.6977705,595.5734418,195.0142223,115.2598053,13.74936666,154.5525545,Good
35.19779937,438.8904887,49.56455667,136.5162957,22.28655739,251.2686826,Hazardous
356.3476363,87.58625741,96.19819915,6.858937324,24.56654624,31.9294259,Very Unhealthy
75.34431995,166.6228549,91.59882636,128.9850091,42.06451407,248.3042275,Moderate
463.5125447,79.19204656,12.40192387,65.67947937,40.94896042,135.8305187,Moderate
208.8731415,69.33106891,106.367884,43.37002168,0.117360493,246.9814808,Hazardous
41.00007395,340.6395891,134.5281959,5.877050575,20.69594971,287.516313,Moderate
114.2400074,544.0338341,148.4271327,30.82841548,32.8045516,47.89578279,Good
431.2588087,410.5958168,104.5183513,49.93047014,42.61980853,202.3708828,Unhealthy
160.5427348,480.3901184,162.517033,10.60263639,2.444889166,70.52893616,Very Unhealthy
428.1639975,304.8580568,150.4195004,28.31850974,31.41241592,40.66628261,Moderate
86.1433692,285.1926628,38.79486242,110.5260664,42.10097488,188.4247788,Moderate
234.1090618,562.4907397,80.32033638,103.0291224,12.75380103,32.39508973,Moderate
439.1297459,433.1787828,28.51637024,115.4758376,10.26281657,139.551771,Moderate
24.20241616,275.6046664,26.68473075,24.78866705,23.39246938,190.7863021,Unhealthy
152.1385914,199.5494679,142.4254709,6.454524979,48.12897909,149.8892184,Unhealthy
454.9257947,55.87649587,106.0918265,70.28848069,34.64431973,209.1207832,Hazardous
298.2631639,492.5897466,120.1899617,51.41771027,21.22425232,240.4236009,Good
358.1160655,101.5942157,146.4368567,116.509962,1.043139997,261.6739268,Moderate
421.0642193,309.0094976,55.44698643,80.82401388,27.83629317,167.9616767,Hazardous
261.7982131,382.3675436,80.27239173,139.6770465,17.43940009,82.98914127,Good
422.6829505,446.4468632,121.3606178,9.180958644,9.285682108,152.8985604,Unhealthy
319.3822853,50.00613487,19.32579628,54.55145479,25.00740511,116.3065822,Moderate
342.8252253,6.411683387,166.6108162,60.78609022,17.0691317,67.77767687,Unhealthy
76.42722758,423.6050975,68.68992484,18.88341511,1.93623414,158.720198,Moderate
469.5094146,272.6347649,131.7505968,87.45238222,36.27530101,6.796458826,Unhealthy
398.0421752,108.6812159,199.1129804,6.030366709,36.629146,181.6694698,Hazardous
127.0979981,589.2164472,95.07248908,106.9087693,30.94157249,246.481138,Hazardous
289.9973332,474.8124932,43.00968986,5.616474115,42.04103267,299.8307162,Unhealthy
188.2329524,347.1078367,43.28667976,131.0208084,10.15907719,276.5037224,Unhealthy
330.2009994,421.2642557,12.07524324,9.754045737,14.31007758,26.94477482,Very Unhealthy
496.8734216,93.01407387,153.4164602,68.45241223,22.93278914,48.72881391,Moderate
22.87319857,577.335117,58.68626802,23.30780982,3.008759199,41.59338686,Very Unhealthy
476.261819,597.8202474,34.54515251,19.96833677,44.177289,167.5054659,Unhealthy
36.19566607,389.0673058,142.7392068,108.1823534,24.5314304,13.78078986,Hazardous
230.3823179,400.9875609,61.82732828,116.1376563,16.23316211,281.0978202,Moderate
241.0546003,422.6751154,120.0937895,110.8798631,23.89817237,18.55100109,Hazardous
134.3622273,399.4717341,83.56524277,60.59877769,16.25649109,117.3751666,Unhealthy
283.349643,263.1244971,66.83054594,148.6179056,14.31317102,268.1909453,Very Unhealthy
416.9820732,324.4057423,97.88591911,50.99533764,22.40092196,284.5134961,Moderate
146.9810906,169.6357185,62.75864787,36.79193417,24.09523362,139.5872357,Very Unhealthy
35.20246883,268.1087498,174.1129838,149.4758132,21.66726967,146.5294641,Moderate
316.1418503,261.6619836,14.60806089,146.5915208,27.39654766,190.8531281,Hazardous
375.8725646,172.8842534,6.030724989,88.77539617,39.16895011,122.2916405,Good
477.2615049,472.0228917,81.27860548,31.35587674,2.863409583,97.39839132,Moderate
79.76232342,245.8032026,34.568727,35.77482734,40.57593433,221.8281036,Unhealthy
450.6799329,331.0291674,148.745291,78.13281676,11.42671962,178.6074914,Moderate
241.0617386,93.65431391,70.68678214,116.4154806,12.60464583,144.5013284,Unhealthy
117.8791185,284.9801401,52.28754243,11.61812166,29.97332445,30.23620053,Good
481.3742351,456.8731987,71.87629264,103.1505601,48.78356514,20.658486,Good
119.2146353,266.7153835,43.89678626,15.4666274,0.869966678,153.2445676,Hazardous
366.7220929,334.6448303,59.9304958,126.6166117,33.65667948,185.829516,Hazardous
392.4433892,421.0239505,113.5970571,79.81773334,34.8448603,197.2535172,Good
215.2595262,233.3853448,172.8065092,148.4541136,28.6825898,268.4670324,Moderate
344.9924224,211.9695315,74.17387178,112.9473348,0.48450572,244.8674591,Moderate
286.2385375,51.44517484,64.13435545,74.58429861,30.31758984,42.22867166,Hazardous
96.01637622,349.3634366,156.3579757,21.17657242,5.751065453,238.3292877,Moderate
379.9439411,424.1751294,4.485276712,81.35934791,3.903384463,202.8909429,Moderate
464.0080724,348.7514769,60.41526508,17.16671042,34.80307925,248.4086683,Moderate
244.3190274,170.1152071,90.43416371,135.77436,35.01172778,253.0063795,Moderate
497.155127,157.4021258,120.1323354,34.51016239,44.49559341,103.6597751,Unhealthy
213.9826568,95.69256792,31.21230596,129.805002,0.169023445,78.98065892,Hazardous
239.8682878,28.19449859,86.57087961,45.5853835,18.93799271,165.7902085,Good
336.948757,256.1268217,113.2600934,33.28478509,0.613599948,89.58230641,Good
92.88507211,96.31219275,102.0500917,45.63542081,18.23312731,104.905602,Unhealthy
450.973005,414.4786206,114.9102156,106.1331236,24.58289692,20.74801963,Hazardous
400.6363986,577.0398057,132.4796535,78.78233535,26.48645808,297.4091176,Unhealthy
436.2086432,44.08893335,75.87453383,16.12087311,17.79663568,92.78908783,Hazardous
304.7792898,535.7734702,12.72714836,20.55885259,36.26506841,234.0219959,Unhealthy
441.8739806,394.6296531,11.11125646,56.7794509,20.77974614,297.9474884,Moderate
339.9862436,516.1673884,171.7429294,50.78152775,25.85632712,290.737805,Unhealthy
255.7804499,92.97531072,135.4838434,127.7603117,40.00438005,190.1649451,Unhealthy
465.895402,543.8892171,152.8369365,85.83797857,8.715138317,161.598435,Very Unhealthy
219.8598844,574.7230929,185.760924,28.00724791,16.04476163,92.78294845,Hazardous
250.2849277,544.0284654,150.1088807,4.251449873,26.07148003,258.452018,Moderate
84.77186541,471.2997789,138.4602537,15.35446584,38.38091125,101.3985433,Unhealthy
473.8295049,54.18255436,131.1517078,105.0617525,21.26777137,32.01713873,Moderate
110.5264042,132.4386428,51.71467694,127.0645901,3.638338614,88.2295174,Hazardous
100.7079621,547.8811267,191.4588143,117.3807004,49.44152659,94.52919783,Good
50.59730212,137.6545783,108.4088616,118.4813213,35.39553613,215.5456117,Very Unhealthy
226.6797256,208.6284194,44.41477892,39.14414191,36.1367568,50.86258762,Very Unhealthy
136.8072749,30.28613673,41.96524221,148.3629048,23.25524558,95.0589701,Hazardous
370.3905003,376.8558028,163.0531823,12.96128052,27.35200285,22.97592735,Very Unhealthy
153.7608101,337.9805534,50.04172029,123.1643005,49.70242219,254.5203469,Good
360.3851309,577.0630007,8.285279575,14.52259109,29.75578518,217.4326357,Moderate
97.98054139,535.4067812,85.68245457,40.1296957,10.9464733,131.246101,Unhealthy
114.9829217,303.5663345,163.4700909,74.31210423,48.21898699,129.0045798,Hazardous
403.0870802,365.6023818,82.88792824,8.001115615,26.88813412,49.91153942,Hazardous
185.546776,247.9180921,160.7095155,59.12570182,1.033667444,115.3419375,Very Unhealthy
55.8869878,79.47548244,165.4421952,52.51715733,28.6675739,272.0475523,Unhealthy
480.7019025,520.6743573,171.5414326,97.07581226,3.52378015,41.59740694,Very Unhealthy
88.69607822,329.7231486,117.7799682,107.7020145,26.37941552,229.5085147,Very Unhealthy
75.09855933,255.2352743,139.894154,13.57429506,41.26658419,14.15274748,Moderate
179.1910317,41.07924362,52.37181217,5.710271825,26.94331856,93.50386486,Moderate
47.81688462,399.230045,19.9395886,116.3836984,18.6726667,254.0812653,Very Unhealthy
77.80818798,239.7989435,106.5561048,79.19870806,44.13048754,133.4951152,Good
423.2222988,152.2175198,2.11637852,80.19551303,46.3795039,210.8082123,Hazardous
85.75342785,526.0519631,93.14757019,147.1075007,17.37454912,31.06252759,Good
55.71340683,110.1791006,20.41872401,65.66122976,24.9475392,205.0277222,Hazardous
439.9787684,309.0119247,21.68405996,29.42887822,49.1461148,245.7061932,Unhealthy
221.8982541,477.4536112,174.1566832,102.0961709,8.905042294,241.573759,Unhealthy
78.58147071,509.4448639,128.1036385,122.3517092,14.9076618,131.6609256,Good
290.7587153,491.22324,129.0468597,75.35411673,21.42112278,271.2423595,Very Unhealthy
20.75291994,537.9758012,80.8953351,103.7721885,5.044414871,172.4924928,Very Unhealthy
213.6912773,85.41442654,82.65086479,77.08971077,13.60212843,245.3615232,Unhealthy
295.1569132,564.2751194,60.62153856,61.10283876,27.23443434,64.03779324,Very Unhealthy
478.5600151,6.481759498,86.87170666,5.141688591,11.42490302,63.07215398,Moderate
